step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
95,PAYMENT,43046.96,C953299610,0.0,0.0,M1982549909,0.0,0.0,0,0
601,CASH_OUT,1054244.29,C1851065642,1054244.29,0.0,C359107555,944153.97,1998398.26,1,0
91,TRANSFER,921668.95,C1152872254,921668.95,0.0,C1484049545,0.0,0.0,1,0
324,CASH_OUT,10211.81,C268984152,10211.81,0.0,C700461668,1975715.1,1985926.91,1,0
279,CASH_OUT,10000000.0,C951363139,10000000.0,0.0,C241707602,0.0,10000000.0,1,0
40,PAYMENT,13790.05,C442490055,0.0,0.0,M253229879,0.0,0.0,0,0
134,PAYMENT,8023.75,C1946735967,0.0,0.0,M1270571210,0.0,0.0,0,0
234,TRANSFER,80336.26,C193216124,80336.26,0.0,C753706264,0.0,0.0,1,0
238,TRANSFER,5274773.52,C31838536,5274773.52,0.0,C36485609,0.0,0.0,1,0
158,CASH_OUT,76820.98,C1870360344,0.0,0.0,C1915784536,387000.15,463821.13,0,0
402,CASH_OUT,360782.2,C1442761592,41286.0,0.0,C441962851,1958367.76,2319149.96,0,0
450,TRANSFER,36267.62,C982513894,36267.62,0.0,C865044477,0.0,0.0,1,0
551,TRANSFER,3774777.76,C695007520,3774777.76,0.0,C2011756935,0.0,0.0,1,0
143,TRANSFER,32076.17,C996891607,32076.17,0.0,C1918140601,0.0,0.0,1,0
373,CASH_OUT,365196.26,C1993578974,48948.51,0.0,C528854187,2928995.32,3294191.58,0,0
470,TRANSFER,2859010.61,C2075115765,2859010.61,0.0,C2025150574,0.0,0.0,1,0
14,CASH_OUT,73070.32,C113258407,697163.25,624092.94,C2000319738,1107558.99,908587.48,0,0
236,PAYMENT,7351.75,C361101315,29924.7,22572.95,M767671697,0.0,0.0,0,0
715,CASH_OUT,1390048.67,C1067753985,1390048.67,0.0,C1479628852,167999.27,1558047.94,1,0
399,CASH_OUT,227705.31,C1961421575,10860.0,0.0,C167488833,611567.43,839272.74,0,0
278,CASH_OUT,27667.36,C802438158,116.0,0.0,C1307651219,334004.0,361671.36,0,0
400,PAYMENT,28901.68,C1867572360,8658.0,0.0,M1962251057,0.0,0.0,0,0
709,CASH_OUT,87541.41,C491289068,87541.41,0.0,C452558889,0.0,87541.41,1,0
360,TRANSFER,78357.77,C800929462,78357.77,0.0,C1220198198,0.0,0.0,1,0
442,CASH_OUT,2758096.0,C868212192,2758096.0,0.0,C678830967,128192.29,2886288.29,1,0
182,PAYMENT,1870.47,C741644323,0.0,0.0,M1170064088,0.0,0.0,0,0
137,TRANSFER,433348.97,C629787900,433348.97,0.0,C794779116,0.0,0.0,1,0
15,PAYMENT,5989.71,C1149265276,2110119.57,2104129.87,M1536863441,0.0,0.0,0,0
213,TRANSFER,1165222.55,C1118113355,0.0,0.0,C1428853795,6131114.2,7296336.75,0,0
56,TRANSFER,325242.69,C464286204,325242.69,0.0,C1532660344,0.0,0.0,1,0
183,TRANSFER,2178672.84,C303455345,0.0,0.0,C953280601,3595890.34,5774563.18,0,0
212,CASH_OUT,171444.48,C345690370,22407.0,0.0,C1213341221,87637.91,259082.39,0,0
299,CASH_IN,220778.96,C1729448968,33536.0,254314.96,C2013457576,249999.37,29220.41,0,0
741,TRANSFER,10000000.0,C1111699947,35674547.89,25674547.89,C949015157,0.0,0.0,1,0
188,CASH_OUT,151408.4,C198937020,0.0,0.0,C1278748746,395987.04,547395.43,0,0
255,CASH_OUT,667257.72,C603417156,667257.72,0.0,C1530198582,0.0,667257.72,1,0
689,CASH_OUT,2163012.63,C1593930308,2163012.63,0.0,C1515597867,0.0,2163012.63,1,0
46,TRANSFER,9977761.05,C154757729,9977761.05,0.0,C1895716929,0.0,0.0,1,0
20,CASH_OUT,35451.79,C2056942282,58881.0,23429.21,C1646136961,0.0,33508.12,0,0
262,TRANSFER,201281.36,C1271087457,201281.36,0.0,C1017401472,0.0,0.0,1,0
705,CASH_OUT,37937.42,C1946923844,222.0,0.0,C462342939,831505.92,869443.34,0,0
167,TRANSFER,464847.2,C1739334879,291385.0,0.0,C2081867954,88731.94,553579.13,0,0
185,CASH_OUT,131597.73,C1484249686,131597.73,0.0,C437393063,0.0,0.0,1,0
56,CASH_OUT,136562.78,C170337029,136562.78,0.0,C2005239245,21100.34,157663.12,1,0
216,CASH_OUT,36300.25,C573579214,36300.25,0.0,C1049156281,0.0,36300.25,1,0
531,CASH_OUT,834203.65,C647849713,834203.65,0.0,C1237314192,0.0,834203.65,1,0
16,CASH_IN,183381.38,C1207652306,3115036.33,3298417.71,C2082462813,1855112.3,1671730.93,0,0
163,TRANSFER,108710.79,C374913514,136901.0,28190.21,C1738800804,780765.72,889476.51,0,0
138,CASH_IN,66042.94,C186809444,8045.0,74087.94,C598530993,832084.56,766041.62,0,0
558,TRANSFER,209829.57,C955753523,209829.57,0.0,C1528787754,0.0,0.0,1,0
711,CASH_OUT,3399575.93,C1666144703,3399575.93,0.0,C1347394914,0.0,3399575.93,1,0
347,CASH_OUT,201220.19,C154230321,51169.0,0.0,C910572468,912168.31,1113388.5,0,0
501,TRANSFER,8020192.15,C1191681942,8020192.15,0.0,C916997353,0.0,0.0,1,0
228,CASH_IN,103155.56,C1507547978,1316743.94,1419899.5,C238522077,1814895.18,1711739.61,0,0
191,PAYMENT,7902.62,C1649012115,0.0,0.0,M543129756,0.0,0.0,0,0
57,TRANSFER,157610.11,C207792334,157610.11,0.0,C912468991,0.0,0.0,1,0
329,CASH_OUT,74549.12,C1964291530,52150.0,0.0,C1128142709,2722110.86,2796659.98,0,0
394,CASH_OUT,462848.05,C1552646781,0.0,0.0,C2125635345,1185973.68,1648821.74,0,0
9,CASH_OUT,337911.97,C1459359610,700255.0,362343.03,C1433050843,101831.62,386255.96,0,0
380,PAYMENT,13549.13,C356969135,4951.0,0.0,M1853548167,0.0,0.0,0,0
354,PAYMENT,8718.53,C1894445236,38966.0,30247.47,M182198363,0.0,0.0,0,0
179,CASH_OUT,42253.38,C1888880897,0.0,0.0,C378463434,738297.94,780551.31,0,0
701,TRANSFER,79581.24,C438236992,79581.24,0.0,C1490705350,0.0,0.0,1,0
298,PAYMENT,19463.44,C161648466,595474.77,576011.33,M1042254123,0.0,0.0,0,0
27,CASH_OUT,496128.26,C705152518,496128.26,0.0,C741210093,465770.07,961898.33,1,0
275,CASH_IN,63061.3,C1660376529,6595859.2,6658920.5,C961040287,4204191.23,4141129.93,0,0
232,TRANSFER,2898.09,C700411853,2898.09,0.0,C91566300,0.0,0.0,1,0
64,TRANSFER,436317.49,C927898109,436317.49,0.0,C542075780,0.0,0.0,1,0
355,CASH_OUT,267261.92,C433648220,0.0,0.0,C930302062,935154.95,1202416.87,0,0
133,PAYMENT,2144.41,C2076074470,20321.0,18176.59,M1406064793,0.0,0.0,0,0
276,PAYMENT,16400.19,C589847459,33007.0,16606.81,M1835602786,0.0,0.0,0,0
576,CASH_OUT,451399.66,C1511096245,451399.66,0.0,C544317728,215513.02,666912.68,1,0
155,TRANSFER,816538.69,C100955975,21474.0,0.0,C782358990,56695.07,873233.76,0,0
43,CASH_OUT,350789.59,C1269861924,350789.59,0.0,C724251968,8785008.75,9135798.34,1,0
391,CASH_OUT,1309940.05,C27246630,1309940.05,0.0,C921559397,0.0,1309940.05,1,0
215,PAYMENT,1029.18,C1055615110,51926.0,50896.82,M1004432565,0.0,0.0,0,0
393,CASH_OUT,345389.58,C1944432559,0.0,0.0,C1990797541,638594.91,983984.49,0,0
41,CASH_OUT,387200.32,C1212975147,50205.0,0.0,C604813556,235893.61,583565.73,0,0
377,PAYMENT,7526.86,C1328103122,504375.26,496848.39,M1660261722,0.0,0.0,0,0
194,CASH_OUT,651477.38,C919667911,651477.38,0.0,C145427921,13160.86,664638.23,1,0
322,TRANSFER,3246726.12,C153311644,0.0,0.0,C1516318315,3455851.25,6702577.37,0,0
350,PAYMENT,5278.78,C441875145,0.0,0.0,M707796840,0.0,0.0,0,0
583,CASH_OUT,1764389.11,C1297057320,1764389.11,0.0,C2133001459,7116057.41,8880446.51,1,0
279,CASH_OUT,130998.55,C381086769,25840.0,0.0,C2004531666,203147.83,334146.38,0,0
89,TRANSFER,766631.82,C112075481,766631.82,0.0,C1906745138,0.0,0.0,1,0
187,TRANSFER,169894.34,C247550287,20060.0,0.0,C1193617382,0.0,169894.34,0,0
164,CASH_IN,4374.02,C976066394,7900960.72,7905334.74,C340725479,54622.29,50248.27,0,0
11,CASH_OUT,2100.0,C169099320,2100.0,0.0,C697156329,112512.48,114612.48,1,0
228,TRANSFER,10000000.0,C1721880478,10497526.17,497526.17,C521374455,0.0,0.0,1,0
198,TRANSFER,2153055.36,C156186481,2153055.36,0.0,C1456746018,0.0,0.0,1,0
14,CASH_IN,55847.54,C368133555,6078375.69,6134223.23,C1484571177,75251.77,86777.72,0,0
43,CASH_IN,107402.48,C1389173808,1607221.02,1714623.5,C1308376948,777564.41,670161.93,0,0
202,PAYMENT,570.8,C649872255,24014.18,23443.38,M1425013807,0.0,0.0,0,0
233,CASH_OUT,122090.79,C1011665365,122090.79,0.0,C1882225131,0.0,122090.79,1,0
651,TRANSFER,130777.09,C527353912,130777.09,0.0,C99611102,0.0,0.0,1,0
232,PAYMENT,4704.81,C232724813,107445.0,102740.19,M625580346,0.0,0.0,0,0
346,CASH_IN,242011.42,C1535814255,9066.0,251077.42,C1773485949,0.0,0.0,0,0
133,CASH_OUT,311453.46,C362969147,0.0,0.0,C1624066192,931865.33,1290648.07,0,0
130,CASH_IN,114730.65,C1637933771,3167380.97,3282111.62,C1690096633,338792.27,224061.62,0,0
346,CASH_IN,78664.12,C584308966,278853.71,357517.82,C353916754,1423908.2,1345244.08,0,0
41,PAYMENT,9599.03,C1043354363,0.0,0.0,M343349411,0.0,0.0,0,0
231,PAYMENT,11853.28,C688263277,0.0,0.0,M1402461174,0.0,0.0,0,0
160,TRANSFER,590871.44,C578442916,0.0,0.0,C1762950575,597846.81,1188718.25,0,0
644,TRANSFER,70669.49,C1174372985,70669.49,0.0,C770656459,0.0,0.0,1,0
488,TRANSFER,27696.89,C928616706,27696.89,0.0,C911339546,0.0,0.0,1,0
355,PAYMENT,7815.19,C2143122984,51181.0,43365.81,M1817725744,0.0,0.0,0,0
31,TRANSFER,120406.39,C237098657,120406.39,0.0,C1177827371,0.0,0.0,1,0
187,PAYMENT,13786.47,C1165788504,0.0,0.0,M45742545,0.0,0.0,0,0
132,CASH_IN,79657.94,C1885219718,2674.0,82331.94,C1649008977,17910.43,0.0,0,0
381,PAYMENT,4062.67,C1912564971,49833.0,45770.33,M2047271110,0.0,0.0,0,0
11,PAYMENT,19494.49,C1749937900,0.0,0.0,M1087350722,0.0,0.0,0,0
401,PAYMENT,35473.89,C1546710832,33479.0,0.0,M1119244716,0.0,0.0,0,0
373,TRANSFER,152314.49,C1353978265,152314.49,0.0,C1142361265,0.0,0.0,1,0
161,PAYMENT,10208.21,C51661405,0.0,0.0,M547436746,0.0,0.0,0,0
396,CASH_IN,68120.44,C2099508247,40667.0,108787.44,C272298323,1262696.53,1194576.09,0,0
234,CASH_IN,315748.95,C2010767779,0.0,315748.95,C331269897,15426342.36,15110593.41,0,0
308,PAYMENT,5947.96,C1093641442,0.0,0.0,M1917493420,0.0,0.0,0,0
121,CASH_OUT,936976.86,C1574875173,936976.86,0.0,C1804412677,0.0,936976.86,1,0
217,CASH_OUT,972713.05,C152636559,972713.05,0.0,C1009036787,0.0,972713.05,1,0
378,PAYMENT,52169.39,C1268862472,203643.65,151474.26,M690413725,0.0,0.0,0,0
210,TRANSFER,23610.85,C1438925911,23610.85,0.0,C570315101,0.0,0.0,1,0
239,CASH_OUT,71867.47,C628578638,71867.47,0.0,C847386551,71658.84,143526.32,1,0
399,PAYMENT,12834.46,C969499432,0.0,0.0,M1920584765,0.0,0.0,0,0
305,PAYMENT,19674.19,C1876657290,0.0,0.0,M1009899492,0.0,0.0,0,0
40,PAYMENT,19922.42,C179237020,1144.0,0.0,M1771720545,0.0,0.0,0,0
204,PAYMENT,12751.41,C895911395,159053.0,146301.59,M982397089,0.0,0.0,0,0
419,CASH_OUT,426323.38,C1078529507,426323.38,0.0,C1957980970,102216.61,528539.99,1,0
151,CASH_OUT,443893.69,C371450806,443893.69,0.0,C475066287,3118325.8,3562219.49,1,0
50,TRANSFER,592737.43,C30736240,592737.43,0.0,C725738949,0.0,0.0,1,0
134,PAYMENT,1702.99,C1426063537,0.0,0.0,M1703730677,0.0,0.0,0,0
26,CASH_OUT,37065.55,C281192595,37065.55,0.0,C514736179,1396327.66,1433393.21,1,0
616,TRANSFER,89846.18,C1846352477,89846.18,0.0,C729066326,0.0,0.0,1,0
6,TRANSFER,30521.02,C903383636,30521.02,0.0,C904300960,0.0,0.0,1,0
542,CASH_OUT,5166393.44,C1354111086,5166393.44,0.0,C1655452584,0.0,5166393.44,1,0
227,CASH_OUT,166637.54,C64683008,39982.0,0.0,C1843718217,264077.54,430715.08,0,0
602,CASH_OUT,274125.77,C1814867638,274125.77,0.0,C67323389,0.0,274125.77,1,0
65,CASH_OUT,126690.14,C1827521206,126690.14,0.0,C1015650621,353834.29,480524.43,1,0
132,CASH_IN,53981.35,C1305888128,3858498.61,3912479.95,C74811001,932823.11,878841.77,0,0
400,CASH_OUT,298653.36,C1767008772,0.0,0.0,C1804001294,1930299.38,2228952.74,0,0
258,CASH_OUT,2684142.41,C1423321917,2684142.41,0.0,C1442224179,209538.74,2893681.15,1,0
431,TRANSFER,343014.4,C1050576674,0.0,0.0,C1337623140,11991755.29,12334769.69,0,0
583,TRANSFER,1583.28,C469202951,1583.28,0.0,C1107076598,0.0,0.0,1,0
269,CASH_OUT,48412.47,C1388837580,48412.47,0.0,C685030137,359164.1,407576.58,1,0
161,CASH_OUT,293047.84,C592015518,363.0,0.0,C1685785486,669232.35,962280.19,0,0
255,PAYMENT,3.65,C1183434807,19400.0,19396.35,M596783129,0.0,0.0,0,0
642,CASH_OUT,330665.02,C1938184125,330665.02,0.0,C88359761,751482.23,1082147.26,1,0
17,CASH_IN,66818.23,C193448141,5609063.16,5675881.39,C764295961,313024.79,246206.56,0,0
235,CASH_OUT,69543.83,C891283136,0.0,0.0,C2029044687,786161.51,855705.34,0,0
35,PAYMENT,12986.21,C1514315175,52467.0,39480.79,M1278038753,0.0,0.0,0,0
182,CASH_OUT,358900.54,C397610581,0.0,0.0,C643126621,719950.22,1078850.77,0,0
81,TRANSFER,82527.13,C538871976,82527.13,0.0,C1208558259,0.0,0.0,1,0
525,CASH_OUT,84542.29,C1710834601,0.0,0.0,C617693817,1932483.22,2017025.5,0,0
37,PAYMENT,24158.11,C35975695,5271.0,0.0,M1587800562,0.0,0.0,0,0
42,PAYMENT,8204.82,C286253669,0.0,0.0,M1564593537,0.0,0.0,0,0
250,CASH_OUT,64788.72,C1229290476,0.0,0.0,C897472373,104616.0,169404.72,0,0
201,CASH_OUT,662276.78,C63997724,662276.78,0.0,C2141524320,537420.76,1199697.54,1,0
108,TRANSFER,36847.9,C696671781,36847.9,0.0,C1532653479,0.0,0.0,1,0
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0
189,PAYMENT,19545.87,C386769455,24716.0,5170.13,M561783039,0.0,0.0,0,0
464,CASH_OUT,1027963.96,C1009032350,1027963.96,0.0,C1867593514,3216668.79,4244632.75,1,0
361,TRANSFER,140807.76,C260837580,140807.76,0.0,C1657343316,0.0,0.0,1,0
306,CASH_OUT,143784.37,C148790522,12462.0,0.0,C1447022284,8603.47,152387.85,0,0
375,CASH_IN,87044.68,C421160366,24391813.52,24478858.2,C852264283,1690148.51,1603103.83,0,0
61,TRANSFER,475368.94,C397354505,475368.94,0.0,C320276503,0.0,0.0,1,0
280,CASH_OUT,88519.02,C1954908476,1117.0,0.0,C587820621,4084936.76,4173455.77,0,0
25,PAYMENT,8189.55,C1959089952,51561.0,43371.45,M2082948966,0.0,0.0,0,0
284,CASH_OUT,282992.27,C1226196196,0.0,0.0,C467412674,2284102.46,2567094.74,0,0
227,TRANSFER,2315782.83,C1089997321,24085.0,0.0,C342866786,5489258.86,7805041.68,0,0
540,CASH_OUT,1989311.31,C393149689,1989311.31,0.0,C928608101,2475151.37,4464462.67,1,0
407,CASH_OUT,48132.52,C948664431,48132.52,0.0,C1693545577,94309.66,142442.19,1,0
10,CASH_IN,511184.52,C1228562498,9116.0,520300.52,C1723781327,21475.0,410796.24,0,0
414,TRANSFER,216000.95,C666284351,216000.95,0.0,C1896227461,0.0,0.0,1,0
105,TRANSFER,1457085.28,C1648040674,1457085.28,0.0,C1031027989,0.0,0.0,1,0
207,CASH_OUT,213086.68,C167812484,4503.0,0.0,C1954359007,598957.6,812044.28,0,0
149,CASH_OUT,14016.65,C1941677118,14016.65,0.0,C1983026804,1818633.89,1832650.55,1,0
469,CASH_IN,65903.4,C1856243076,110422.0,176325.4,C2057304479,2236773.51,2170870.11,0,0
305,CASH_OUT,15034.9,C370880847,0.0,0.0,C1514555192,32176.06,47210.96,0,0
77,TRANSFER,9039246.82,C1074348771,9039246.82,0.0,C306278286,0.0,0.0,1,0
654,TRANSFER,1290224.84,C296753895,1290224.84,0.0,C254269192,0.0,0.0,1,0
354,CASH_OUT,122586.2,C795746664,0.0,0.0,C1470694604,1490062.51,1612648.7,0,0
523,CASH_OUT,160186.79,C2096987876,160186.79,0.0,C641152271,2428183.45,2588370.25,1,0
235,CASH_OUT,301349.86,C561420122,0.0,0.0,C1646434363,566244.2,867594.06,0,0
283,TRANSFER,113360.8,C468244226,113360.8,0.0,C410972619,0.0,0.0,1,0
346,CASH_OUT,126963.22,C2143694123,246392.0,119428.78,C954464778,1837851.12,1964814.34,0,0
37,PAYMENT,36512.01,C1689767584,70824.35,34312.34,M909153991,0.0,0.0,0,0
256,CASH_IN,17876.28,C225203431,18458.2,36334.48,C424483064,81512.58,63636.3,0,0
129,TRANSFER,139210.23,C922917235,139210.23,0.0,C1075980653,0.0,0.0,1,0
352,CASH_OUT,614145.31,C2100152368,614145.31,0.0,C413537349,0.0,614145.31,1,0
139,PAYMENT,4964.29,C1853766261,0.0,0.0,M1172597429,0.0,0.0,0,0
283,CASH_IN,260840.91,C1072254060,4475286.76,4736127.68,C1038184976,414831.52,153990.61,0,0
136,PAYMENT,18404.74,C986927053,0.0,0.0,M976036102,0.0,0.0,0,0
726,CASH_OUT,185529.91,C1721806534,185529.91,0.0,C878343259,0.0,185529.91,1,0
445,CASH_OUT,72901.03,C1596300422,72901.03,0.0,C1818578637,0.0,72901.03,1,0
307,TRANSFER,16734.61,C166709172,16734.61,0.0,C1054064905,0.0,0.0,1,0
208,PAYMENT,12723.36,C1203403718,0.0,0.0,M786260837,0.0,0.0,0,0
260,PAYMENT,206.7,C1439352008,1563.0,1356.3,M2057218440,0.0,0.0,0,0
289,CASH_OUT,27759.73,C408463565,27759.73,0.0,C1525357904,7076299.77,7104059.5,1,0
286,CASH_IN,80269.23,C955300029,3540893.77,3621163.0,C542712358,721368.8,641099.57,0,0
466,TRANSFER,230806.85,C549647828,230806.85,0.0,C13373079,0.0,0.0,1,0
360,CASH_IN,56347.76,C1511221160,4923355.41,4979703.17,C856406040,804705.7,748357.94,0,0
81,TRANSFER,1980800.05,C1249942022,1980800.05,0.0,C1969956684,0.0,0.0,1,0
12,CASH_OUT,19472.0,C1205151454,19472.0,0.0,C664770316,0.0,19472.0,1,0
600,TRANSFER,1649039.58,C114531117,1649039.58,0.0,C267782135,0.0,0.0,1,0
86,CASH_OUT,305817.12,C337026029,305817.12,0.0,C1022926752,0.0,305817.12,1,0
160,CASH_OUT,191151.04,C1544483057,52290.0,0.0,C1153773928,503879.64,695030.67,0,0
275,CASH_OUT,125706.51,C2047232562,0.0,0.0,C1828119983,1498236.34,1623942.84,0,0
